	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
C6H12O3	16	122.411051458326	2334	0.202109224565517	3.72592123402511e-05	0.0583333333333333
C8H8O2	16	153.577758423854	2437	0.203993568501352	3.72051491926483e-05	0.133333333333333
C9H10O2	20	226.944001024328	3840	0.229212048218309	3.72647661635923e-05	0.121052631578947
C8H8O3	24	241.744103053946	4370	0.254347552714219	3.72939509211606e-05	0.148550724637681
C8H16O3	25	243.994653433684	4496	0.312927210215391	3.73566438791139e-05	0.16
C7H14O4	17	104.880823229874	2094	0.199079073850458	3.72120715960257e-05	0.0955882352941176
C8H6O4	28	334.335369082665	5885	0.334927416079906	3.73678113672882e-05	0.126984126984127
C9H10O3	27	286.100407725086	5599	0.336927606789398	3.73733976155772e-05	0.168091168091168
C8H8O4	22	178.995435183993	3508	0.277385369127222	3.73176101802441e-05	0.142857142857143
C8H12O4	28	305.894421319149	5803	0.340547235027548	3.73747944386306e-05	0.103174603174603
C9H16O3	31	405.607787830296	7194	0.411193866350572	3.74335554390956e-05	0.156989247311828
C8H15O3N	5	379.55615780135	4023	0.000840626230607949	3.5929864903708e-05	0.1
C8H14O4	31	463.198622269144	7845	0.337487678065933	3.73636227768644e-05	0.0989247311827957
C9H18O3	24	212.69121699861	4530	0.322659718600684	3.73636227768644e-05	0.181159420289855
C10H9O2N	3	8.88601607965272	173	0.00077017797763846	3.57334286224763e-05	0.666666666666667
C7H12O5	18	141.216625398729	2708	0.205488504821024	3.72425607984805e-05	0.0718954248366013
C8H16O4	26	211.742788675133	4356	0.318646250836644	3.73245744998507e-05	0.178461538461538
C9H8O4	29	327.704776049138	5972	0.355274472954433	3.73761913660998e-05	0.125615763546798
C10H12O3	30	340.67286703404	6486	0.3565100528645	3.73817801203693e-05	0.16551724137931
C9H10O4	30	429.846394604075	7607	0.371211272063438	3.74027528426092e-05	0.15632183908046
C10H16O3	36	1430.26089728214	20355	0.483222048132898	3.74868795921427e-05	0.104761904761905
C10H18O3	31	368.869274924475	6965	0.445139024298465	3.74447689657755e-05	0.195698924731183
C9H17O3N	4	64.6358233707561	590	0.00119595263599655	3.59699291392396e-05	0.166666666666667
C8H12O5	32	463.556247846413	8437	0.36572572297706	3.74013539290122e-05	0.131048387096774
C9H16O4	41	600.594346236631	10837	0.480622499081752	3.74601985390523e-05	0.157317073170732
C10H20O3	32	410.929797552758	8004	0.402386646968659	3.74167477362868e-05	0.153225806451613
C10H7O3N	3	21.3999009858575	171	0.00057845844286763	3.57462019660411e-05	0.666666666666667
C11H11O2N	6	823.315290311388	11119	0.0123142668875957	3.65056766327164e-05	0.266666666666667
C8H14O5	26	304.873669142998	5477	0.292976438245917	3.73454830638234e-05	0.126153846153846
C9H18O4	34	460.527920255957	8592	0.420302715826402	3.74349567626249e-05	0.153297682709447
C7H13O3NS	5	641.61258419959	8918	0.000135648226043397	3.54245633922562e-05	0.1
C10H10O4	30	338.034064004046	6505	0.365617279368708	3.74041518608566e-05	0.174712643678161
C7H14O4S	20	134.194060958893	2740	0.254528325008108	3.72592123402511e-05	0.131578947368421
C11H14O3	27	572.02872931259	8369	0.296494608102605	3.73664150661386e-05	0.128205128205128
C9H8O5	29	362.427811792296	6966	0.358089120022639	3.74027528426092e-05	0.12807881773399
C10H12O4	41	720.892615662605	13182	0.503585744593974	3.75135986795213e-05	0.131707317073171
C10H14O4	43	924.875673037109	17089	0.553280638565815	3.75530436741898e-05	0.104097452934662
C9H13O4N	2	603.167569515219	6037	0.0125064705553431	3.65056766327164e-05	0
C9H12O5	36	428.660293431294	8739	0.452584807353282	3.74195479718605e-05	0.158730158730159
C10H16O4	44	752.123909421615	14608	0.596821751767313	3.75065636486385e-05	0.145877378435518
C11H20O3	35	477.932305951437	9130	0.502181221728227	3.74812593703148e-05	0.186554621848739
C9H14O5	39	560.972914545974	10632	0.472042318634476	3.74756408334582e-05	0.16059379217274
C10H18O4	46	759.66589266111	14096	0.590569836186332	3.75093773443361e-05	0.191304347826087
