Molecular_transformation	Frequnecy
C-1H-2O1	273
C-1H-2O2S1	48
C-1H-2S1	71
C-1H-4O3	128
C-1H-6S1	28
C-1H-8O2S1	28
C-1H10O-1S1	29
C-1H2S1	63
C-1H4O1S1	42
C-1H4S1	52
C-1H8O-1S1	42
C-2H-2O1S1	57
C-2H-2S1	74
C-2H-4O2S1	47
C-2H-8O3S1	26
C-2H2S1	56
C-2S1	58
C-3H-10O5	30
C-3H-22O4	23
C-3H-4O2S1	32
C-3H-6O3S1	20
C-3H-6O4	33
C-3H-8O2S1	40
C1	286
C10H10O3	87
C10H12	40
C10H4O4	46
C11H14O1S-1	24
C12H26O4	35
C13H18O4	68
C14H20O3	62
C14H22O1	40
C14H24O5	35
C15H18O3	25
C15H26O3	51
C15H26O6	20
C17H32O5	35
C18H32O6	24
C18H42O2	26
C19H32O3	24
C1H-12O7	24
C1H-8O5	73
C1H2	355
C1H2O1	307
C1H3O2N-1	33
C1H4O-1	268
C1H4O3S1	26
C1H6O-1	235
C1H8O-1S1	46
C1O1	292
C1O3S1	35
C2	232
C21H38O6	20
C22H40O5	24
C22H44O4	34
C22H50O3	22
C24H52O4	24
C2H-4O1S-1	52
C2H12	117
C2H14O-1S1	28
C2H2O1	300
C2H2O1S-1	56
C2H4	320
C2H4O1	305
C2H6O-1	241
C2H8O-2	177
C2H8S-1	32
C2O1	260
C3H-2O4	120
C3H-4O1	108
C3H-4O1S-1	43
C3H-8O4	77
C3H14O2	43
C3H15O-1N-1	24
C3H2O1S-1	58
C3H2O4S-1	22
C3H4O2	239
C3H4O2S-1	43
C3H6O2S-1	35
C3H6O3S1	35
C4H10O3S1	24
C4H10S-1	38
C4H12	173
C4H14O-1	148
C4H14O-2S1	22
C4H16	107
C4H2	158
C4H2S-1	59
C4H4	189
C4H6S-1	65
C4H8S-1	52
C5H2S-1	42
C5H4O-1	80
C5H6O-1S-1	36
C5H8O-1	140
C5O4	120
C5S-1	32
C6H12O1S-1	39
C6H14	168
C6H16S-1	29
C6H4O1	121
C6H8O3	150
C7H14O4	60
C7H16O2	114
C7H22O-1	84
C7H26O-3	26
C7H8S-1	38
C8H12S-1	36
C8H14O4	77
C8H14O5	41
C8H16O2S-1	25
C8H2O1	25
C8H6O1S-1	28
C8H8O4	114
C9H12O3	114
C9H16O4	76
C9H16O5	39
C9H28O1	37
H-2O1	336
H-4O2	212
H-5O2N1	20
H2	362
H2O-2S1	35
H4O-1S1	53
H4O1S1	52
H8O-1S1	46
H8O2	39
O1	375
S1	72
