Small_molecule	Large_molecule	Molecular_transformation	Correlation_index	small2large	large2small	direction
C8H8O2	C9H10O2	C1H2	1	0.985228136034251	0.985228136034251	uncertain
C8H8O2	C8H8O3	O1	1	0.863120568566631	0.985228136034251	decrease
C9H10O2	C8H8O3	C-1H-2O1	1	0.863120568566631	0.985228136034251	decrease
C6H12O3	C8H16O3	C2H4	1	0.985228136034251	0.985228136034251	uncertain
C8H8O3	C8H6O4	H-2O1	1	0.985228136034251	0.699513850319966	increase
C8H8O2	C9H10O3	C1H2O1	1	0.985228136034251	0.699513850319965	increase
C9H10O2	C9H10O3	O1	1	0.985228136034251	0.985228136034251	uncertain
C8H8O3	C9H10O3	C1H2	1	0.469565211114707	0.985228136034251	decrease
C8H6O4	C9H10O3	C1H4O-1	0.811278124459133	0.591672778582327	0.591672778582327	increase
C8H8O3	C8H8O4	O1	1	0.863120568566631	0.863120568566631	uncertain
C8H6O4	C8H8O4	H2	1	0.591672778582327	0.985228136034251	decrease
C9H10O3	C8H8O4	C-1H-2O1	1	0.985228136034251	0.591672778582327	increase
C6H12O3	C8H12O4	C2O1	1	0.699513850319965	0.985228136034251	decrease
C8H16O3	C9H16O3	C1	1	0.591672778582327	0.591672778582327	decrease
C8H12O4	C9H16O3	C1H4O-1	1	0.985228136034251	0.863120568566631	increase
C8H16O3	C8H14O4	H-2O1	1	0.863120568566631	0.591672778582327	increase
C7H14O4	C8H14O4	C1	1	0.521640636343318	0.699513850319966	decrease
C8H12O4	C8H14O4	H2	0.811278124459133	0.521640636343318	0.591672778582327	decrease
C8H16O3	C9H18O3	C1H2	1	0.985228136034251	0.985228136034251	uncertain
C9H16O3	C9H18O3	H2	1	0.985228136034251	0.985228136034251	uncertain
C8H14O4	C9H18O3	C1H4O-1	0.811278124459133	0.41379956460568	0.985228136034251	decrease
C7H14O4	C7H12O5	H-2O1	1	0.591672778582327	0.591672778582327	increase
C8H14O4	C7H12O5	C-1H-2O1	1	0.699513850319966	0.591672778582327	increase
C8H16O3	C8H16O4	O1	1	0.985228136034251	0.521640636343318	increase
C7H14O4	C8H16O4	C1H2	1	0.863120568566631	0.699513850319966	increase
C8H14O4	C8H16O4	H2	1	0.863120568566631	0.591672778582327	increase
C9H18O3	C8H16O4	C-1H-2O1	1	0.699513850319966	0.469565211114707	increase
C6H12O3	C9H8O4	C3H-4O1	1	0.863120568566631	0.985228136034251	decrease
C8H8O3	C9H8O4	C1O1	1	0.985228136034251	0.863120568566631	increase
C8H6O4	C9H8O4	C1H2	1	0.591672778582327	0.985228136034251	decrease
C8H8O4	C9H8O4	C1	1	0.863120568566631	0.863120568566631	uncertain
