	Day0	Day3	Day6	Day9	Day12	Day24	Day48	Day96
C10H10O4	0.000176163833333333	0.000130279833333333	5.4928e-05	0.000106314166666667	8.53926666666667e-05	0.000153927833333333	0.00032756	0.000486138333333333
C10H10O5	3.39225e-05	8.69e-05	0.000279607166666667	0.000230194166666667	0.000119500333333333	0.000202133	0.0003425575	0.0004436515
C10H10O6	3.69271666666667e-05	0.000191185333333333	4.335e-05	7.75666666666667e-05	9.51788333333333e-05	0.0001810865	0.0004267835	0.0004664595
C10H11O5N	0	0.000143944833333333	5.585e-05	7.21323333333333e-05	2.65833333333333e-05	5.86833333333333e-05	4.17305e-05	7.66075e-05
C10H12O3	0	5.28693333333333e-05	4.22498333333333e-05	9.4229e-05	7.95636666666667e-05	9.4001e-05	0.000242216166666667	0.0002588525
C10H12O4	0.00209643883333333	0.00182805716666667	0.001526925	0.0014342805	0.00067054	0.000346492833333333	0.000319955	0.000140606666666667
C10H12O5	9.28426666666667e-05	0.000225440666666667	0.000155837166666667	0.000603990666666667	0.0001859075	0.000265745666666667	0.0006653015	0.000949582
C10H12O5S	0	6.86333333333333e-05	0.000151427333333333	0.0001328835	6.49448333333333e-05	7.00583333333333e-05	0.0001739905	0.000180906166666667
C10H12O6	3.16333333333333e-05	0.000164912333333333	6.0108e-05	0.000120306333333333	2.04e-05	6.19666666666667e-05	6.46185e-05	0.000106216333333333
C10H12O6S	1.66166666666667e-05	0.000104767333333333	0.0024866905	0.0017178425	0.000328136666666667	6.68201666666667e-05	0.000184608833333333	0.000223088
C10H14O4	1.53666666666667e-05	5.905e-05	1.64833333333333e-05	5.16333333333333e-05	2.87333333333333e-05	4.97666666666667e-05	0.000126104	9.74723333333333e-05
C10H14O5	0.000141722666666667	0.0001326915	6.23e-05	6.81666666666667e-05	6.05666666666667e-05	7.29073333333333e-05	0.000192242166666667	0.000137965833333333
C10H14O5S	0	7.36166666666667e-05	3.51666666666667e-05	5.755e-05	5.35e-06	5.07e-05	0.000135567166666667	9.92201666666667e-05
C10H14O6	0.000135695166666667	0.0001284515	6.08833333333333e-05	8.58643333333333e-05	5.755e-05	9.29018333333333e-05	0.000236173333333333	0.000218747833333333
C10H15O7NS2	0	0.000172952166666667	6.19833333333333e-05	6.82395e-05	3.50166666666667e-05	3.70333333333333e-05	0	0
C10H16O3	0.000156176333333333	6.25333333333333e-05	0	4.4e-05	1.45166666666667e-05	4.51666666666667e-05	0.000162331333333333	0.000250774166666667
C10H16O4	0.000156418666666667	0.000164145833333333	9.26938333333333e-05	0.000118558166666667	8.86315e-05	0.000136246166666667	0.0004255055	0.000574663
C10H16O4S	0	0	1.35333333333333e-05	0.000102418166666667	8.9571e-05	0.0002407925	0.000345759833333333	0.000328732666666667
C10H16O5	0.000104966333333333	0.000146579	0.000118025	0.0001477285	0.000113067166666667	0.000198155833333333	0.000578858	0.000532313166666667
C10H16O6	4.17086666666667e-05	0.000115289833333333	4.765e-05	6.86958333333333e-05	4.485e-05	5.92666666666667e-05	0.000126100666666667	0.000171662166666667
C10H17O5N	3.92266666666667e-05	0.0004549755	0.000696094833333333	0.0004369105	0.000258271666666667	0.0001876175	0.000317695	0.000305644333333333
C10H17O6NS2	0	0.000117543666666667	8.64581666666667e-05	0.000102480833333333	8.57331666666667e-05	6.02185e-05	0.000121553666666667	4.16313333333333e-05
C10H18O3	0.000180149166666667	0.000455292166666667	0.000266117	0.0004133245	0.000257968333333333	0.00050846	0.00401972483333333	0.0124938223333333
C10H18O4	0.000170611	0.000268322833333333	0.000156122	0.0001559655	0.000112355166666667	0.000319466166666667	0.00488411133333333	0.00679394016666667
C10H18O5	0.000390072166666667	0.0005371845	0.0003915095	0.0003525505	0.000224319166666667	0.000415133666666667	0.0064511175	0.007610865
C10H18O5S	1.7181e-05	9.10996666666667e-05	2.78e-05	6.3e-05	4.13333333333333e-05	7.74983333333333e-05	0.000219257833333333	0.0002912895
C10H18O6	2.10756666666667e-05	8.35708333333333e-05	5.08833333333333e-05	5.76166666666667e-05	1.64166666666667e-05	4.665e-05	0.000116537166666667	7.95676666666667e-05
C10H20O3	0.000153944333333333	0.000114433333333333	0.000124262333333333	0.000240613166666667	0.0001300995	0.000232179666666667	0.00277006433333333	0.0120828233333333
C10H20O4	0.000151653833333333	0.000134370166666667	8.61061666666667e-05	9.26936666666667e-05	7.4291e-05	0.000124026833333333	0.000508308333333333	0.000961332166666667
C10H7O3N	0	1.37e-05	8.74788333333333e-05	0.000141911833333333	0.000150248333333333	0.000238221833333333	0.000632646166666667	0.000765869333333333
C10H9O2N	0	2.54833333333333e-05	3.25593333333333e-05	0.0005840395	0.00045737	0.000364263	0.00149360333333333	0.001097049
C11H10O6	1.63166666666667e-05	0.000100653	6.435e-05	7.23153333333333e-05	1.855e-05	6.42333333333333e-05	9.47008333333333e-05	0.000137585
C11H11O2N	0	9.51991666666667e-05	0.000312366833333333	0.000432211333333333	0.000338602333333333	0.000491223666666667	0.0014090105	0.00175294633333333
C11H11O3N	0.000619911666666667	0.00361219216666667	0.000500953666666667	0.000397887666666667	0.000290080833333333	0.000126839333333333	0.000315569	0.0001422105
C11H11O5N	0	0.0001534735	7.47333333333333e-05	6.79803333333333e-05	3.20855e-05	4.325e-05	7.84846666666667e-05	9.5887e-05
C11H12O5	3.53408333333333e-05	9.82785e-05	6.3e-05	4.18166666666667e-05	1.77666666666667e-05	6.60166666666667e-05	0.000108579333333333	0.000140780666666667
C11H12O6	0.0001023535	0.0001769735	6.56068333333333e-05	0.000126360666666667	6.51893333333333e-05	8.60335e-05	0.0003247685	0.000363941166666667
C11H12O7	8.11548333333333e-05	0.000126860666666667	4.08e-05	6.3186e-05	2.88166666666667e-05	5.15833333333333e-05	0.000138110666666667	0.000172990333333333
C11H13O3N	0.000941326333333333	0.00147618966666667	0.00182597766666667	0.00035665	0.000170244666666667	0.000242375833333333	0.000517163666666667	0.000491345833333333
C11H13O5N	1.82343333333333e-05	0.0001818875	6.54166666666667e-05	5.84886666666667e-05	3.52333333333333e-05	5.84166666666667e-05	0.0001190045	0.000135859
C11H14O3	1.635e-05	4.405e-05	0.0005048165	0.0005859605	0.000521929833333333	0.0009238025	0.00283030933333333	0.00323215366666667
C11H14O4	1.50333333333333e-05	6.91326666666667e-05	7.32863333333333e-05	6.96166666666667e-05	3.225e-05	6.94943333333333e-05	0.000141180833333333	0.000202011333333333
C11H14O5	0.0001607525	0.00013839	0.000118119166666667	0.000126568833333333	0.000122378166666667	0.000154934333333333	0.000298827	0.000310217
C11H14O5S	0.000101716333333333	0.0001164695	0.0001357455	0.0001442495	7.68151666666667e-05	0.000108445166666667	0.000366600833333333	0.000367924333333333
C11H14O6	5.24226666666667e-05	0.0001233505	7.13326666666667e-05	0.000458429333333333	3.93166666666667e-05	6.62626666666667e-05	0.000116694833333333	0.000163353833333333
C11H15O4N	0	7.0883e-05	0	0	0	4.765e-05	0.0001309635	0.000170392666666667
C11H16O6	3.4129e-05	8.88988333333333e-05	4.42333333333333e-05	4.76833333333333e-05	5.8e-06	3.86166666666667e-05	0.000142572	0.000183719
C11H17O7NS2	0	8.72958333333333e-05	5.63e-05	6.72446666666667e-05	4.7e-05	4.50166666666667e-05	3.96308333333333e-05	2.28181666666667e-05
C11H18O4	1.645e-05	6.12166666666667e-05	7.9e-06	4.14166666666667e-05	3.00833333333333e-05	4.175e-05	0.0002443725	0.000364011333333333
C11H18O4N2	0.000569354666666667	0.000173241333333333	5.78753333333333e-05	3.69833333333333e-05	6.0472e-05	6.22703333333333e-05	0.000183611333333333	0.000250385
